Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,src_Name,src_IATA,src_City,src_Country,src_Latitude,src_Longitude,dest_Name,dest_IATA,dest_City,dest_Country,dest_Latitude,dest_Longitude
LH,3320,TXL,351,LUX,629,Y,0,DH4 ER4,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877,Luxembourg-Findel International Airport,LUX,Luxemburg,Luxembourg,49.6233333,6.204444400000002
LH,3320,TXL,351,SCN,349,Y,0,DH4 ER4,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877,Saarbrücken Airport,SCN,Saarbruecken,Germany,49.2145996094,7.10950994492
LH,3320,TXL,351,VIE,1613,Y,0,320 321 319,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877,Vienna International Airport,VIE,Vienna,Austria,48.110298156738004,16.569700241089002
LH,3320,TXL,351,ZRH,1678,Y,0,321 320,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877,Zürich Airport,ZRH,Zurich,Switzerland,47.464699,8.54917
LH,3320,VCE,1551,MUC,346,Y,0,E95,Venice Marco Polo Airport,VCE,Venice,Italy,45.505299,12.3519,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,VIE,1613,CGN,344,Y,0,100 F70,Vienna International Airport,VIE,Vienna,Austria,48.110298156738004,16.569700241089002,Cologne Bonn Airport,CGN,Cologne,Germany,50.865898132299996,7.1427397728
LH,3320,VIE,1613,HAM,342,Y,0,320 321,Vienna International Airport,VIE,Vienna,Austria,48.110298156738004,16.569700241089002,Hamburg Airport,HAM,Hamburg,Germany,53.630401611328004,9.988229751586902
LH,3320,VIE,1613,LEJ,348,Y,0,DH4,Vienna International Airport,VIE,Vienna,Austria,48.110298156738004,16.569700241089002,Leipzig/Halle Airport,LEJ,Leipzig,Germany,51.423889,12.236389
LH,3320,VIE,1613,STR,350,Y,0,100 319 F70 320 DH4,Vienna International Airport,VIE,Vienna,Austria,48.110298156738004,16.569700241089002,Stuttgart Airport,STR,Stuttgart,Germany,48.6898994446,9.22196006775
LH,3320,VIE,1613,TXL,351,Y,0,320 321 319,Vienna International Airport,VIE,Vienna,Austria,48.110298156738004,16.569700241089002,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877
